,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
PEAK,0.1368404731101518,10.62,6.0,1.72,12.8554,6.5827,25.1172,88.8446,0.8549,,0.0,,,-0.2213377155318229,1.5626893100217187
HRL,0.1968331959777265,20.88,2.22,3.72,18.0663,12.4361,12.3612,10.6031,0.1115,1.8,0.95,7.8526,15.7928,-0.07580159170889,0.1953444702297648
BWA,-0.309679986235967,7.21,0.64,1.54,22.6697,9.7573,11.301,8.8414,0.4865,1.5861,1.26,10.6274,5.2968,0.1100746268656716,1.1159090909090907
TYL,0.0495340299350464,50.63,7.98,5.37,11.1305,8.2337,16.3044,15.7666,,1.224,0.0,,3.0805,-0.0630752405411716,-0.1303819638971286
KEYS,0.4923076923076921,66.37,2.8,4.38,6.7818,2.8331,-10.1599,4.2548,0.7357,1.6265,1.2,2.8546,6.2147,-3.6621621621621614,0.6176470588235294
ZTS,0.194535870329594,28.29,6.94,18.19,65.1716,13.2133,29.0129,24.515,2.9529,3.5969,2.46,1.3738,5.6226,0.1081967213114754,0.6527777777777777
CCI,0.0173552686194782,68.04,7.03,3.27,5.3755,1.8985,25.7542,9.4786,1.4417,0.8161,0.0,,10.7186,0.4301964839710444,0.6525974025974026
AFL,0.0620936945054138,10.78,1.45,1.31,12.4457,2.0797,18.3059,13.4204,0.2463,,0.0,,,-0.0087108013937282,-0.365768896611642
ED,-0.0661995900827985,14.55,1.62,1.14,8.2071,2.5631,21.5936,11.2021,1.2299,0.6225,0.57,8.2346,7.7058,-0.0396539293439077,-0.0937704918032786
FCX,-0.4509785078744163,13.49,0.85,0.79,16.2587,6.8908,25.5207,13.9682,0.6227,3.1433,1.79,2.9905,14.0908,0.2883468834688347,0.4320308200330214
PFE,0.2481945000306473,18.61,5.08,3.1,6.0574,2.4219,13.8935,27.319,0.6547,1.5671,1.33,1.197,5.0872,-0.5866491765048827,-0.4765815656091609
IT,0.0380836378400324,96.12,2.95,13.48,14.3938,1.9746,6.533,3.0803,2.6819,0.6913,0.0,,3.1674,-42.03507607716737,36.34553217444343
AAL,-0.3768047640644411,10.4,0.33,-86.14,-835.503,2.3308,5.963,3.1701,-144.8107,0.4773,0.39,22.661,26.1084,-0.3722524225951311,0.1014040561622464
FDX,-0.3466220739302474,13.11,0.92,3.13,23.5476,8.7369,6.5271,6.9855,0.8542,1.3858,1.33,35.1905,7.7173,-0.064388961892247,0.5255255255255256
KLAC,-0.1254103071042573,19.0,3.68,9.02,49.5069,14.228,38.1456,19.8743,1.3807,3.7463,2.98,1.5518,6.1943,0.2040229885057471,-0.1336942108423067
HIG,-0.1923984833659491,0.0,0.77,1.09,11.6316,2.3834,10.852,9.5015,0.3571,,0.0,,,0.9797882579403272,-1.5752155860747366
PWR,-0.2303770920719299,15.52,0.41,1.16,8.21,4.1834,4.8362,2.6259,0.3068,1.8416,1.78,89.959,4.7442,0.4260804975919141,-0.0686778124186451
COF,-0.2277677849377682,9.9,1.04,0.63,11.661,1.6173,,25.6976,1.1401,,0.0,,,0.3324836125273125,2.35093896713615
BMY,-0.1290950250526195,14.46,3.18,5.04,35.0181,14.1399,26.4527,21.8075,0.5202,1.6629,1.55,5.4117,3.9257,0.1631260962775287,3.885799404170804
A,0.0167316727931434,63.76,4.13,4.35,6.9131,3.6998,18.3964,6.4306,0.3936,3.2861,2.74,3.5016,6.3325,0.1201982651796778,-0.5380116959064327
CTAS,0.0902328517314068,22.74,2.91,6.06,25.9879,11.2663,14.6656,13.0096,0.8405,2.5494,2.19,12.7275,7.8579,0.2276659839220027,0.7528021168776056
CNC,0.1429421094369547,24.8,0.38,2.16,8.1177,2.8931,2.4253,1.4971,0.6071,1.0023,0.0,,11.673,0.2160133444537113,0.0869565217391303
BR,0.078746938173952,29.5,2.92,11.16,39.0991,12.9482,13.8109,9.8824,0.9626,1.2751,0.0,,7.0405,0.1198497678465289,0.3093635250917992
VTR,0.020279212464443,42.03,4.55,1.65,4.0499,1.8419,26.4,10.9313,1.045,,0.0,,,-0.0708039855372056,-0.698137813589685
MRK,0.3999559393912433,28.49,4.2,6.37,23.0377,7.4942,21.1165,14.7066,0.9342,1.1652,0.92,2.4833,5.9813,0.313962042077387,1.5981620718462826
OKE,0.0628432021400031,13.86,1.26,2.4,17.5549,6.3353,14.5751,9.1367,1.4258,0.6634,0.46,21.5208,15.3771,0.3187981356128271,1.9725659692978603
ADSK,0.2268434608413623,0.0,12.35,-98.59,221.4453,-13.7811,-24.7545,-27.5649,-6.1953,0.8845,0.0,,4.6933,0.0190152083636492,-0.0261123518295826
CTVA,,,,,-9.0149,-6.2337,-45.2789,-35.4518,0.1056,1.7259,1.33,1.8734,2.7162,49.14728682170543,-2.736968449931413
LIN,0.0246491387302574,45.47,3.04,1.41,7.5123,4.5917,35.3667,29.5295,0.268,1.3331,1.21,5.4634,3.4526,1.1468903436988542,2.513231756214916
PHM,-0.2076134083996634,6.88,0.69,1.41,21.2136,10.0465,13.2263,9.9215,0.7008,,0.0,,,0.4353441650757632,1.2835949025074045
QCOM,-0.0759228940727474,54.47,4.14,95.44,-615.1177,-15.1721,2.7465,-21.9539,20.285,1.5264,1.38,6.0508,7.7862,-0.7593955831073227,-3.0302658486707568
KMI,-0.1120392930347681,17.39,1.79,0.75,5.5573,2.4332,26.8241,10.4709,1.0809,0.7572,0.71,11.4831,9.4419,0.0750920940776425,53.851851851851855
MAR,-0.1903954506306842,20.61,1.8,16.02,85.7079,8.0478,11.398,9.1868,4.2009,0.4204,0.0,,9.7318,-0.055111821086262,0.3070596298834818
BKNG,-0.0088160484307203,20.66,5.73,8.95,45.5094,17.6224,36.766,27.5212,1.1172,2.3648,0.0,,9.5384,0.1769501983252535,0.7078171721486544
COP,0.1562438594670734,9.81,1.59,1.86,19.6638,9.0097,28.5176,16.1567,0.4668,1.795,1.66,14.5611,9.5223,-10.860714285714286,-8.31812865497076
UNP,0.0471669818525199,15.72,4.14,4.43,29.2122,10.0867,37.3029,26.13,1.0964,0.8999,0.74,13.5175,13.0097,0.050703182827535,-0.4430545182972367
PG,0.0361816890504131,18.45,2.69,3.19,18.9941,8.3349,19.9949,14.1923,0.5916,0.8259,0.66,7.2672,14.2621,-0.02927502542496,-0.3709795079249287
NTAP,0.0965918938987047,353.87,2.58,6.54,5.0967,1.161,19.5641,1.9598,0.6771,1.9688,1.93,18.1148,5.6533,0.8647342995169083,-0.7588357588357588
TSCO,0.1334278783572462,18.02,1.21,6.07,34.0857,17.2548,8.8703,6.7293,0.2819,1.9128,0.22,3.2767,1924.36,0.0223709311639672,0.2597213907273799
SBUX,0.1475175066344007,16.11,2.94,57.56,384.249,18.7031,15.7095,18.2783,8.0287,2.1981,1.95,5.6628,35.6651,-0.0608024618950681,0.566298055257046
SHW,-0.0323412391915995,32.4,2.05,9.43,29.7183,5.7943,10.708,6.323,2.5045,1.0109,0.59,5.5726,8.6856,0.1087097726601711,-0.3583540714161699
CMA,-0.1914204059986448,7.62,2.63,1.17,16.4513,1.7439,,36.8579,0.8668,,0.0,,,0.2415949960906958,0.6626016260162602
IQV,0.1866189989785494,86.69,2.24,3.3,4.084,1.2595,7.1168,2.4875,1.5828,1.0962,0.0,,4.2274,0.1142857142857143,-0.7971808927173062
ATO,0.1037379801122766,19.76,3.86,1.95,12.643,5.0787,23.3646,19.3566,0.764,0.25,0.16,7.0466,12.3001,-0.0104596316454426,0.5231427460132243
DGX,-0.1384135860472578,14.21,1.39,1.93,14.9611,7.1617,14.6196,9.7729,0.7391,0.936,0.87,49.7576,7.4417,-0.0549356223175965,-0.0466321243523316
GRMN,0.0983124410508888,15.38,3.18,2.55,16.6727,12.8943,23.2519,20.7346,,2.893,2.28,2.4344,5.8744,0.1385325838127544,-0.0210533887535664
MOS,0.1421696943046666,18.11,1.07,1.0,4.4311,2.3356,9.6826,4.9023,0.4271,1.7059,0.79,3.5631,11.4339,0.9933420685668592,-5.384328358208955
ON,-0.211556829035339,11.55,1.24,2.14,19.7207,8.3017,14.4123,10.6732,0.866,2.156,1.32,2.9706,8.569,0.2429571239792951,-0.2261009004563957
PRU,-0.264605156670797,6.78,0.44,0.54,8.3376,0.5015,7.674,6.4675,0.4044,,0.0,,,-0.2548173269616155,-0.4818771461274322
COO,0.1683600959954565,92.84,5.04,3.84,4.2294,2.2886,15.9152,5.5235,0.6115,2.0334,1.16,1.9209,6.7595,-0.0605917035656025,-0.6248323947438992
IDXX,0.189538304130963,43.56,7.45,-1735.26,-4083.647,24.5258,22.1998,17.0352,-108.338,0.8491,0.62,5.6069,8.8937,0.18959247314952,0.4327934514942388
BAC,-0.1497523651927144,8.43,2.07,0.8,11.5832,1.1955,,30.427,1.9025,,0.0,,,0.1838565022421525,0.6064508364424119
EOG,-0.1866195321032361,12.01,2.38,2.12,17.6565,10.0754,25.8712,19.7914,0.3142,1.3565,1.13,,7.3728,3.824416284344993,0.3238859295301324
FTV,-0.0623275297461204,6.65,3.03,2.82,7.4128,3.7984,16.9798,75.7526,0.5187,1.4466,1.19,2.8097,3.18,-0.4354332458442694,1.7562470081378652
EBAY,-0.2562283786488263,10.12,3.02,3.79,33.88,9.3256,20.2543,29.2486,1.4697,1.5999,0.0,,12.1489,-0.2261484098939929,-3.487708947885939
CSGP,0.1360161643374307,51.58,10.32,4.07,7.8868,7.194,22.9532,19.9973,,7.8704,0.0,,13.3625,0.5738727009439297,0.9424915440727006
AVB,0.0094772159630045,19.13,8.98,1.93,9.1621,5.3001,25.5931,42.6575,0.6621,,0.0,,,0.0246541012766927,0.1144331688886144
MTD,-0.0870674070247933,28.38,4.98,23.89,86.8739,19.5739,23.2656,17.462,1.7535,1.424,1.06,4.6544,5.4817,0.1198045485004448,0.3634286595810327
K,-0.133382531783522,12.54,1.23,5.23,42.5451,7.5591,12.5932,9.862,2.8151,0.6971,0.4,6.6323,9.8524,0.2299927901946648,0.065390749601276
EVRG,0.0925876932901519,20.21,2.32,1.22,5.4651,2.133,21.834,12.5307,0.8535,0.5863,0.41,2.6196,6.8229,0.3753683522935109,0.6542142636616239
LYV,0.1569180173831337,0.0,0.97,7.71,6.728,1.0632,2.5263,-0.1636,2.0965,1.0262,0.0,,13.008,1.9818997445197568,-0.8192347868832313
DOV,-0.1119396633826276,17.48,1.44,3.44,21.3513,7.0662,12.058,8.1559,1.1428,1.3701,0.96,5.9196,5.6761,0.0448961699927448,-0.2974108776404057
CSX,0.1412303618918189,15.18,4.14,3.8,26.3037,9.0092,39.7469,27.0122,1.1731,1.3394,1.2,12.5932,12.1287,0.3088709677419354,-0.3951745567537927
TSLA,0.0688934175471052,0.0,2.68,10.0,-18.4645,-3.5743,-1.8079,-4.5478,2.0796,0.8313,0.52,5.5956,22.6143,-0.7622549019607843,-0.5025484199796126
MLM,-0.2153793930015399,22.27,2.46,2.09,9.5042,4.9249,16.2736,11.0737,0.6305,1.7361,0.89,4.9437,8.1106,-0.0138495165404792,-0.3410907051731389
TTWO,-0.0623064310439059,66.97,6.23,7.49,11.6546,4.6426,7.5619,9.6789,0.0054,1.3951,1.39,59.2475,7.2396,0.4848819723804527,1.578384321649852
ORCL,-0.033623103606804,38.3,4.38,3.66,7.6526,2.6021,33.6795,9.108,1.2933,3.9824,0.0,,7.668,0.0271819097033996,-0.6205035971223021
TAP,-0.3033053871273511,9.75,1.01,0.79,8.2602,3.7682,15.1519,10.3671,0.7636,0.6432,0.51,11.1267,12.3646,-0.0273583044395926,-0.2868548799182422
ESS,0.0398122307757129,34.44,9.91,2.16,6.4687,3.3399,36.5693,27.867,0.8768,,0.0,,,0.1466153963298559,-0.0990765692434518
EXC,0.1832793265476071,13.18,0.74,0.8,6.291,1.7378,10.8149,5.5729,1.1053,1.1687,1.02,9.8932,6.1364,-0.1132634457611668,-0.469436358825086
KO,0.0679268869960012,27.22,5.12,9.14,33.9805,7.7822,26.6822,18.758,2.32,0.8662,0.76,4.255,9.308,0.1801418439716311,4.155448717948718
TRV,-0.0964520467663663,11.55,0.96,1.23,11.0204,2.4205,10.9405,8.2689,0.2867,,0.0,,,0.069054533720555,0.2268495835374815
T,-0.2224156886936535,5.45,0.61,0.59,10.2912,3.7515,15.2826,11.3437,0.9104,0.7983,0.0,,6.4504,0.3067601402103155,-0.3422750424448217
CB,-0.0963221933012474,13.92,1.68,1.07,7.8749,2.3616,16.3738,12.1099,0.2785,,0.0,,,0.1547747359344686,0.0261590261590261
CDNS,0.039693926351028,35.35,5.72,9.45,26.8377,14.0067,18.5316,16.1728,0.3456,1.3415,1.3,9.1878,7.1967,0.2230374589063295,0.6941465254947305
ROST,0.0478273852196688,21.99,2.13,9.72,44.6906,23.8158,14.4919,9.6412,0.1302,1.6358,0.78,6.1171,160.8633,0.136328637268368,0.2192977433087519
ZBRA,0.5340077071290943,27.41,2.02,6.43,31.5356,9.7027,14.4618,9.981,1.1918,0.8932,0.49,4.3019,7.7537,0.8944099378881987,23.764705882352946
PPG,-0.1100189518358704,17.0,1.51,4.69,28.3178,8.3672,11.6821,8.7225,1.06,1.3631,0.96,5.0482,5.4039,-0.1340405014464802,-0.1587202007528231
TER,-0.2437517883748235,12.94,2.85,3.53,29.6764,16.6917,22.5532,21.5051,0.0238,3.6375,3.32,5.734,7.2126,-0.0981185812161922,0.7531743321484563
DHI,-0.3126741660412541,10.49,0.95,1.64,15.9659,10.3602,12.4216,9.0883,0.3498,7.2465,1.31,1.1927,,0.2659512457495587,0.4062981510015406
REGN,-0.0065432492818384,17.54,8.34,4.65,27.9127,20.8309,49.2537,47.5047,0.0809,4.4688,3.67,0.3627,2.2939,0.2186959030582804,1.039549436795995
XEL,0.0584286107182148,17.45,1.91,1.81,10.3175,2.7421,17.0322,10.9301,1.4111,0.6937,0.57,8.635,13.4151,-0.1160593792172739,0.0984320557491289
ROL,0.1788634738358534,47.83,6.13,15.69,32.5411,21.1734,16.9985,12.7178,,0.9565,0.9,56.653,14.8736,0.053186553787232,0.2933107791250755
USB,-0.1236217849359878,9.15,2.41,1.18,15.5978,1.5243,,32.0878,1.074,,0.0,,,0.1544499135293335,0.1473025536952477
OMC,0.0393785814338469,10.5,0.91,4.41,46.3646,5.8516,13.9534,8.6748,1.5745,0.8989,0.82,10.708,1.9945,0.0238506574527304,0.2204637467795362
HD,-0.0731620089517354,24.02,2.06,139.27,593.5351,19.3806,14.5495,8.5527,18.5887,1.1691,0.38,5.2203,51.6926,0.093393907797721,0.0845796154329521
EQT,-0.3869365281465026,0.0,1.04,0.42,-21.7272,-11.4902,-61.062,-44.0372,0.5017,0.8364,0.0,,3.3186,-8.281625715996807,-2.3305398835554367
